source_release_key,month_end,source_vehicle_category,vehicle_type,source_fuel_type,source_value_token,vehicle_population,source_value_status
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Buses,buses,Diesel-Electric,4,4,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Buses,buses,Petrol,86,86,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Buses,buses,Petrol-CNG,2,2,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Cars,cars,CNG,0,0,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Cars,cars,Diesel,7234,7234,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Cars,cars,Diesel-Electric,22,22,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Cars,cars,Electric,2,2,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Cars,cars,Petrol,581610,581610,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Cars,cars,Petrol-CNG,1853,1853,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Cars,cars,Petrol-Electric,6810,6810,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Cars,cars,Petrol-Electric (Plug-In),117,117,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Goods & Other Vehicles,goods_and_other_vehicles,CNG,4,4,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Goods & Other Vehicles,goods_and_other_vehicles,Diesel,135975,135975,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Goods & Other Vehicles,goods_and_other_vehicles,Diesel-Electric,6,6,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Goods & Other Vehicles,goods_and_other_vehicles,Electric,1,1,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Goods & Other Vehicles,goods_and_other_vehicles,Petrol,7211,7211,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Goods & Other Vehicles,goods_and_other_vehicles,Petrol-CNG,8,8,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Goods & Other Vehicles,goods_and_other_vehicles,Petrol-Electric,1,1,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Motor-cycles,motorcycles,Electric,2,2,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Motor-cycles,motorcycles,Petrol,142713,142713,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Taxis,taxis,CNG,0,0,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Taxis,taxis,Diesel,24406,24406,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Taxis,taxis,Petrol,408,408,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Taxis,taxis,Petrol-CNG,1401,1401,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-04-30,Taxis,taxis,Petrol-Electric,2065,2065,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Buses,buses,CNG,12,12,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Buses,buses,Diesel,17893,17893,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Buses,buses,Diesel-Electric,4,4,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Buses,buses,Petrol,83,83,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Buses,buses,Petrol-CNG,2,2,reported_numeric
